Occur Date,Occur Time,Beat,Location,UCR #,UCR Literal,Neighborhood,NPU,Longitude,Latitude,Shift Occurrence,Day of Week,Crime Category
1/3/19,1500,502,250 10TH ST NE,640,LARCENY-FROM VEHICLE,Midtown,E,-84.37867,33.78218,Day,3,4
1/3/19,100,606,144 MORELAND AVE NE,640,LARCENY-FROM VEHICLE,Reynoldstown,N,-84.3496,33.75736,Morning,3,4
1/3/19,1211,508,275 BAKER ST,640,LARCENY-FROM VEHICLE,Downtown,M,-84.39568,33.76206,Day,3,4
1/3/19,1715,605,800 GLENWOOD AVE SE,640,LARCENY-FROM VEHICLE,Grant Park,W,-84.36001999999999,33.742340000000006,Evening,3,4
1/3/19,1630,401,850 OAK ST SW @WEST END MALL,640,LARCENY-FROM VEHICLE,West End,T,-84.4168,33.74057,Evening,3,4
1/3/19,1845,211,2625 PIEDMONT RD NE,640,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,-84.36532,33.827420000000004,Evening,3,4
1/3/19,2000,207,1784 PEACHTREE ST NW,640,LARCENY-FROM VEHICLE,Ardmore,E,-84.39350999999999,33.803340000000006,Evening,3,4
1/3/19,1930,501,1085 HOWELL MILL RD NW,640,LARCENY-FROM VEHICLE,Home Park,E,-84.41141999999999,33.78455,Evening,3,4
1/3/19,2100,213,1544 PIEDMONT AVE NE @ANSLEY MALL,640,LARCENY-FROM VEHICLE,Piedmont Heights,F,-84.37101,33.79789,Evening,3,4
1/3/19,1900,602,753 EDGEWOOD AVE NE,640,LARCENY-FROM VEHICLE,Inman Park,N,-84.36261999999999,33.75443,Evening,3,4
1/3/19,2100,208,3247 ROSWELL RD NE,640,LARCENY-FROM VEHICLE,Buckhead Forest,B,-84.37894,33.843759999999996,Evening,3,4
1/3/19,2030,209,3830 ROSWELL RD NE,640,LARCENY-FROM VEHICLE,East Chastain Park,B,-84.38101999999999,33.85865,Evening,3,4
1/3/19,2320,207,669 ANTONE ST NW,640,LARCENY-FROM VEHICLE,Berkeley Park,D,-84.41001,33.79838,Evening,3,4
1/3/19,1946,212,2349 CHESHIRE BRIDGE RD NE,620,LARCENY-NON VEHICLE,Lindridge/Martin Manor,F,-84.35086,33.81924,Evening,3,4
1/3/19,903,208,3242 PEACHTREE RD,610,LARCENY-NON VEHICLE,Buckhead Forest,B,-84.37462,33.84564,Day,3,4
1/2/19,2019,204,1801 HOWELL MILL RD NW,630,LARCENY-NON VEHICLE,Berkeley Park,D,-84.41278,33.80388,Evening,2,4
1/3/19,1430,113,2591 ETHERIDGE DR NW,670,LARCENY-NON VEHICLE,Carey Park,G,-84.47292,33.7881,Day,3,4
1/3/19,1700,601,865 VIRGINIA AVE NE,660,LARCENY-NON VEHICLE,Virginia Highland,F,-84.35939,33.781729999999996,Evening,3,4
1/2/19,1900,611,205 LAKESIDE VILLAGE DR SE,710,AUTO THEFT,The Villages at East Lake,O,-84.31599,33.744640000000004,Evening,2,3
1/2/19,1900,303,291 GLENN ST SW,710,AUTO THEFT,Mechanicsville,V,-84.3973,33.73833,Evening,2,3
1/3/19,800,203,2074 GARRISON WAY NW,710,AUTO THEFT,Whittier Mill Village,D,-84.48033000000001,33.81157,Day,3,3
