Neighborhood,Month,Day,Shift,Category 1,Category 2,Category 3,Category 4
Adams Park,6,3,Morning,0,2,3,0
Adams Park,6,3,Day,0,3,3,6
Adams Park,6,3,Evening,0,0,3,1
Adams Park,6,4,Morning,0,2,0,2
Adams Park,6,4,Day,0,1,1,4
Adams Park,6,4,Evening,0,3,1,3
Adams Park,6,5,Morning,0,2,1,1
Adams Park,6,5,Day,0,0,2,4
Adams Park,6,5,Evening,0,1,3,2
Adams Park,6,6,Morning,0,0,2,0
Adams Park,6,6,Day,0,0,2,1
Adams Park,6,6,Evening,0,1,3,3
Adams Park,7,0,Morning,0,0,2,2
Adams Park,7,0,Day,0,0,1,4
Adams Park,7,0,Evening,0,1,2,4
Adams Park,7,1,Morning,0,1,1,2
Adams Park,7,1,Day,0,2,5,1
Adams Park,7,1,Evening,0,2,5,8
Adams Park,7,2,Morning,0,0,4,4
Adams Park,7,2,Day,0,0,2,3
Adams Park,7,2,Evening,0,1,3,2
Adams Park,7,3,Morning,0,0,0,1
Adams Park,7,3,Day,0,0,2,1
Adams Park,7,3,Evening,0,1,4,2
Adams Park,7,4,Morning,0,0,3,3
Adams Park,7,4,Day,0,1,3,1
Adams Park,7,4,Evening,0,3,1,4
Adams Park,7,5,Morning,0,2,0,1
Adams Park,7,5,Day,0,0,4,3
Adams Park,7,5,Evening,0,0,1,2
Adams Park,7,6,Morning,0,0,2,1
Adams Park,7,6,Day,0,0,3,0
Adams Park,7,6,Evening,0,1,3,2
Adams Park,8,0,Morning,0,0,1,1
Adams Park,8,0,Day,0,4,1,2
Adams Park,8,0,Evening,0,3,2,7
Adams Park,8,1,Morning,0,0,3,0
Adams Park,8,1,Day,0,0,2,1
Adams Park,8,1,Evening,0,0,3,4
Adams Park,8,2,Morning,0,0,4,4
Adams Park,8,2,Day,0,0,2,0
Adams Park,8,2,Evening,0,0,4,5
Adams Park,8,3,Morning,0,0,3,2
Adams Park,8,3,Day,0,1,6,2
Adams Park,8,3,Evening,0,0,0,1
Adams Park,8,4,Morning,0,0,3,1
Adams Park,8,4,Day,0,0,1,4
Adams Park,8,4,Evening,0,1,2,4
Adams Park,8,5,Morning,0,2,3,2
Adams Park,8,5,Day,0,1,1,5
Adams Park,8,5,Evening,0,1,5,4
Adams Park,8,6,Morning,0,2,2,1
Adams Park,8,6,Day,0,0,1,3
Adams Park,8,6,Evening,0,1,2,0
Adams Park,9,0,Morning,0,0,5,0
Adams Park,9,0,Day,0,1,2,5
Adams Park,9,0,Evening,0,2,2,3
Adams Park,9,1,Morning,0,1,3,2
Adams Park,9,1,Day,0,2,4,5
Adams Park,9,1,Evening,0,0,2,3
Adams Park,9,2,Morning,0,0,2,1
Adams Park,9,2,Day,0,0,2,4
Adams Park,9,2,Evening,0,4,4,3
Adams Park,9,3,Morning,0,0,1,1
Adams Park,9,3,Day,0,0,1,3
Adams Park,9,3,Evening,0,3,3,3
Adams Park,9,4,Morning,0,0,1,2
Adams Park,9,4,Day,0,2,2,5
Adams Park,9,4,Evening,0,2,3,3
Adams Park,9,5,Morning,0,1,1,2
Adams Park,9,5,Day,0,0,1,5
Adams Park,9,5,Evening,0,0,4,4
Adams Park,9,6,Morning,0,1,1,0
Adams Park,9,6,Day,0,1,3,1
Adams Park,9,6,Evening,0,1,4,2
Adams Park,10,0,Morning,0,0,3,1
Adams Park,10,0,Day,0,0,4,2
Adams Park,10,0,Evening,0,2,2,5
Adams Park,10,1,Morning,0,0,1,2
Adams Park,10,1,Day,0,0,3,4
Adams Park,10,1,Evening,0,1,3,2
Adams Park,10,2,Morning,0,1,3,0
Adams Park,10,2,Day,0,1,1,4
Adams Park,10,2,Evening,0,3,1,2
Adams Park,10,3,Morning,0,0,3,1
Adams Park,10,3,Day,0,1,5,2
Adams Park,10,3,Evening,0,0,2,1
Adams Park,10,4,Morning,0,1,3,2
Adams Park,10,4,Day,1,0,4,3
Adams Park,10,4,Evening,0,1,5,3
Adams Park,10,5,Morning,1,1,0,3
Adams Park,10,5,Day,0,2,3,1
